1,test,a test,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
24,实验3-2-OSPF,计算机网络技术实践,2025-11-19 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
25,实验4-STP,计算机网络技术实践,2025-11-19 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
26,第五章第一次作业,编译原理与技术,2025-11-20 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
27,课程,形势与政策,2025-11-21 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
28,第8章作业,操作系统,2025-11-21 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
29,作业3,Python,2025-11-24 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
30,作业3,网络存储技术,2025-11-24 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
31,第2章编程作业（微信）,算法设计与分析,2025-11-25 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
32,第3章编程作业（微信）,算法设计与分析,2025-11-25 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
33,实验5-VLAN,计算机网络技术实践,2025-11-26 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
34,第五章第二次作业,编译原理与技术,2025-11-27 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
35,实验2,编译原理与技术,2025-11-28 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
36,排错小作业,程序设计实践,2025-11-30 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
37,作业4,Python,2025-12-01 23:59:00,completed,2025-12-04 21:13:59,2025-12-04 21:13:59
38,实验6-NAT,计算机网络技术实践,2025-12-03 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
39,文本分类实验,人工智能原理,2025-12-07 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
40,实验,人工智能原理,2025-12-07 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
41,作业5,Python,2025-12-08 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
42,作业4,网络存储技术,2025-12-08 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
43,论文,形势与政策,2025-12-09 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
44,实验7-IPv6-OSPF,计算机网络技术实践,2025-12-10 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
45,作业5,网络存储技术,2025-12-15 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
46,数据库实验,数据库系统原理,2025-12-20 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
47,性能小作业,程序设计实践,2025-12-21 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
48,第一次作业-知识表示,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
49,DIANA聚类算法作业题,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
50,凝聚型层次聚类算法作业题,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
51,凝聚型层次聚类算法作业题2,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
52,高级聚类算法作业题,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
53,关联分析方法作业题,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
54,决策树课后作业,人工智能原理,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
55,大作业,程序设计实践,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
56,大作业,Python,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
57,大作业,网络存储技术,2025-12-31 23:59:00,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
58,实验,操作系统,,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
59,实验3报告,计算机网络技术实践,,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
60,实验5报告,计算机网络技术实践,,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
61,实验6报告,计算机网络技术实践,,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
62,实验7报告,计算机网络技术实践,,pending,2025-12-04 21:13:59,2025-12-04 21:13:59
